name,role,type,demographic,description,units,missing_values
paper_time5,Feature,Integer,,,,no
pressure_mean5,Feature,Continuous,,,,no
pressure_var5,Feature,Continuous,,,,no
total_time5,Feature,Integer,,,,no
air_time6,Feature,Integer,,,,no
disp_index6,Feature,Categorical,,,,no
gmrt_in_air6,Feature,Continuous,,,,no
gmrt_on_paper6,Feature,Continuous,,,,no
max_x_extension6,Feature,Integer,,,,no
max_y_extension6,Feature,Integer,,,,no
mean_acc_in_air6,Feature,Continuous,,,,no
mean_acc_on_paper6,Feature,Continuous,,,,no
mean_gmrt6,Feature,Continuous,,,,no
mean_jerk_in_air6,Feature,Continuous,,,,no
mean_jerk_on_paper6,Feature,Continuous,,,,no
mean_speed_in_air6,Feature,Continuous,,,,no
mean_speed_on_paper6,Feature,Continuous,,,,no
num_of_pendown6,Feature,Integer,,,,no
paper_time6,Feature,Integer,,,,no
pressure_mean6,Feature,Continuous,,,,no
pressure_var6,Feature,Continuous,,,,no
total_time6,Feature,Integer,,,,no
air_time7,Feature,Integer,,,,no
disp_index7,Feature,Categorical,,,,no
gmrt_in_air7,Feature,Continuous,,,,no
gmrt_on_paper7,Feature,Continuous,,,,no
max_x_extension7,Feature,Integer,,,,no
max_y_extension7,Feature,Integer,,,,no
mean_acc_in_air7,Feature,Continuous,,,,no
mean_acc_on_paper7,Feature,Continuous,,,,no
mean_gmrt7,Feature,Continuous,,,,no
mean_jerk_in_air7,Feature,Continuous,,,,no
mean_jerk_on_paper7,Feature,Continuous,,,,no
mean_speed_in_air7,Feature,Continuous,,,,no
mean_speed_on_paper7,Feature,Continuous,,,,no
num_of_pendown7,Feature,Integer,,,,no
paper_time7,Feature,Integer,,,,no
pressure_mean7,Feature,Continuous,,,,no
pressure_var7,Feature,Continuous,,,,no
total_time7,Feature,Integer,,,,no
air_time8,Feature,Integer,,,,no
disp_index8,Feature,Categorical,,,,no
gmrt_in_air8,Feature,Continuous,,,,no
gmrt_on_paper8,Feature,Continuous,,,,no
max_x_extension8,Feature,Integer,,,,no
max_y_extension8,Feature,Integer,,,,no
mean_acc_in_air8,Feature,Continuous,,,,no
mean_acc_on_paper8,Feature,Continuous,,,,no
mean_gmrt8,Feature,Continuous,,,,no
mean_jerk_in_air8,Feature,Continuous,,,,no
mean_jerk_on_paper8,Feature,Continuous,,,,no
mean_speed_in_air8,Feature,Continuous,,,,no
mean_speed_on_paper8,Feature,Continuous,,,,no
num_of_pendown8,Feature,Integer,,,,no
paper_time8,Feature,Integer,,,,no
pressure_mean8,Feature,Continuous,,,,no
pressure_var8,Feature,Continuous,,,,no
total_time8,Feature,Integer,,,,no
air_time9,Feature,Integer,,,,no
disp_index9,Feature,Categorical,,,,no
gmrt_in_air9,Feature,Continuous,,,,no
gmrt_on_paper9,Feature,Continuous,,,,no
max_x_extension9,Feature,Integer,,,,no
max_y_extension9,Feature,Integer,,,,no
mean_acc_in_air9,Feature,Continuous,,,,no
mean_acc_on_paper9,Feature,Continuous,,,,no
mean_gmrt9,Feature,Continuous,,,,no
mean_jerk_in_air9,Feature,Continuous,,,,no
mean_jerk_on_paper9,Feature,Continuous,,,,no
mean_speed_in_air9,Feature,Continuous,,,,no
mean_speed_on_paper9,Feature,Continuous,,,,no
num_of_pendown9,Feature,Integer,,,,no
paper_time9,Feature,Integer,,,,no
pressure_mean9,Feature,Continuous,,,,no
pressure_var9,Feature,Continuous,,,,no
total_time9,Feature,Integer,,,,no
air_time10,Feature,Integer,,,,no
disp_index10,Feature,Categorical,,,,no
gmrt_in_air10,Feature,Continuous,,,,no
gmrt_on_paper10,Feature,Continuous,,,,no
max_x_extension10,Feature,Integer,,,,no
max_y_extension10,Feature,Integer,,,,no
mean_acc_in_air10,Feature,Continuous,,,,no
mean_acc_on_paper10,Feature,Continuous,,,,no
mean_gmrt10,Feature,Continuous,,,,no
mean_jerk_in_air10,Feature,Continuous,,,,no
mean_jerk_on_paper10,Feature,Continuous,,,,no
mean_speed_in_air10,Feature,Continuous,,,,no
mean_speed_on_paper10,Feature,Continuous,,,,no
num_of_pendown10,Feature,Integer,,,,no
paper_time10,Feature,Integer,,,,no
pressure_mean10,Feature,Continuous,,,,no
pressure_var10,Feature,Continuous,,,,no
total_time10,Feature,Integer,,,,no
air_time11,Feature,Integer,,,,no
disp_index11,Feature,Categorical,,,,no
gmrt_in_air11,Feature,Continuous,,,,no
gmrt_on_paper11,Feature,Continuous,,,,no
max_x_extension11,Feature,Integer,,,,no
max_y_extension11,Feature,Integer,,,,no
mean_acc_in_air11,Feature,Continuous,,,,no
mean_acc_on_paper11,Feature,Continuous,,,,no
mean_gmrt11,Feature,Continuous,,,,no
mean_jerk_in_air11,Feature,Continuous,,,,no
mean_jerk_on_paper11,Feature,Continuous,,,,no
mean_speed_in_air11,Feature,Continuous,,,,no
mean_speed_on_paper11,Feature,Continuous,,,,no
num_of_pendown11,Feature,Integer,,,,no
paper_time11,Feature,Integer,,,,no
pressure_mean11,Feature,Continuous,,,,no
pressure_var11,Feature,Continuous,,,,no
total_time11,Feature,Integer,,,,no
air_time12,Feature,Integer,,,,no
disp_index12,Feature,Categorical,,,,no
gmrt_in_air12,Feature,Continuous,,,,no
gmrt_on_paper12,Feature,Continuous,,,,no
max_x_extension12,Feature,Integer,,,,no
max_y_extension12,Feature,Integer,,,,no
mean_acc_in_air12,Feature,Continuous,,,,no
mean_acc_on_paper12,Feature,Continuous,,,,no
mean_gmrt12,Feature,Continuous,,,,no
mean_jerk_in_air12,Feature,Continuous,,,,no
mean_jerk_on_paper12,Feature,Continuous,,,,no
mean_speed_in_air12,Feature,Continuous,,,,no
mean_speed_on_paper12,Feature,Continuous,,,,no
num_of_pendown12,Feature,Integer,,,,no
paper_time12,Feature,Integer,,,,no
pressure_mean12,Feature,Continuous,,,,no
pressure_var12,Feature,Continuous,,,,no
total_time12,Feature,Integer,,,,no
air_time13,Feature,Integer,,,,no
disp_index13,Feature,Categorical,,,,no
gmrt_in_air13,Feature,Continuous,,,,no
gmrt_on_paper13,Feature,Continuous,,,,no
max_x_extension13,Feature,Integer,,,,no
max_y_extension13,Feature,Integer,,,,no
mean_acc_in_air13,Feature,Continuous,,,,no
mean_acc_on_paper13,Feature,Continuous,,,,no
mean_gmrt13,Feature,Continuous,,,,no
mean_jerk_in_air13,Feature,Continuous,,,,no
mean_jerk_on_paper13,Feature,Continuous,,,,no
mean_speed_in_air13,Feature,Continuous,,,,no
mean_speed_on_paper13,Feature,Continuous,,,,no
num_of_pendown13,Feature,Integer,,,,no
paper_time13,Feature,Integer,,,,no
pressure_mean13,Feature,Continuous,,,,no
pressure_var13,Feature,Continuous,,,,no
total_time13,Feature,Integer,,,,no
air_time14,Feature,Integer,,,,no
disp_index14,Feature,Categorical,,,,no
gmrt_in_air14,Feature,Continuous,,,,no
gmrt_on_paper14,Feature,Continuous,,,,no
max_x_extension14,Feature,Integer,,,,no
max_y_extension14,Feature,Integer,,,,no
mean_acc_in_air14,Feature,Continuous,,,,no
mean_acc_on_paper14,Feature,Continuous,,,,no
mean_gmrt14,Feature,Continuous,,,,no
mean_jerk_in_air14,Feature,Continuous,,,,no
mean_jerk_on_paper14,Feature,Continuous,,,,no
mean_speed_in_air14,Feature,Continuous,,,,no
mean_speed_on_paper14,Feature,Continuous,,,,no
num_of_pendown14,Feature,Integer,,,,no
paper_time14,Feature,Integer,,,,no
pressure_mean14,Feature,Continuous,,,,no
pressure_var14,Feature,Continuous,,,,no
total_time14,Feature,Integer,,,,no
air_time15,Feature,Integer,,,,no
disp_index15,Feature,Categorical,,,,no
gmrt_in_air15,Feature,Continuous,,,,no
gmrt_on_paper15,Feature,Continuous,,,,no
max_x_extension15,Feature,Integer,,,,no
max_y_extension15,Feature,Integer,,,,no
mean_acc_in_air15,Feature,Continuous,,,,no
mean_acc_on_paper15,Feature,Continuous,,,,no
mean_gmrt15,Feature,Continuous,,,,no
mean_jerk_in_air15,Feature,Continuous,,,,no
mean_jerk_on_paper15,Feature,Continuous,,,,no
mean_speed_in_air15,Feature,Continuous,,,,no
mean_speed_on_paper15,Feature,Continuous,,,,no
num_of_pendown15,Feature,Integer,,,,no
paper_time15,Feature,Integer,,,,no
pressure_mean15,Feature,Continuous,,,,no
pressure_var15,Feature,Continuous,,,,no
total_time15,Feature,Integer,,,,no
air_time16,Feature,Integer,,,,no
disp_index16,Feature,Categorical,,,,no
gmrt_in_air16,Feature,Continuous,,,,no
gmrt_on_paper16,Feature,Continuous,,,,no
max_x_extension16,Feature,Integer,,,,no
max_y_extension16,Feature,Integer,,,,no
mean_acc_in_air16,Feature,Continuous,,,,no
mean_acc_on_paper16,Feature,Continuous,,,,no
mean_gmrt16,Feature,Continuous,,,,no
mean_jerk_in_air16,Feature,Continuous,,,,no
mean_jerk_on_paper16,Feature,Continuous,,,,no
mean_speed_in_air16,Feature,Continuous,,,,no
mean_speed_on_paper16,Feature,Continuous,,,,no
num_of_pendown16,Feature,Integer,,,,no
paper_time16,Feature,Integer,,,,no
pressure_mean16,Feature,Continuous,,,,no
pressure_var16,Feature,Continuous,,,,no
total_time16,Feature,Integer,,,,no
air_time17,Feature,Integer,,,,no
disp_index17,Feature,Categorical,,,,no
gmrt_in_air17,Feature,Continuous,,,,no
gmrt_on_paper17,Feature,Continuous,,,,no
max_x_extension17,Feature,Integer,,,,no
max_y_extension17,Feature,Integer,,,,no
mean_acc_in_air17,Feature,Continuous,,,,no
mean_acc_on_paper17,Feature,Continuous,,,,no
mean_gmrt17,Feature,Continuous,,,,no
mean_jerk_in_air17,Feature,Continuous,,,,no
mean_jerk_on_paper17,Feature,Continuous,,,,no
mean_speed_in_air17,Feature,Continuous,,,,no
mean_speed_on_paper17,Feature,Continuous,,,,no
num_of_pendown17,Feature,Integer,,,,no
paper_time17,Feature,Integer,,,,no
pressure_mean17,Feature,Continuous,,,,no
pressure_var17,Feature,Continuous,,,,no
total_time17,Feature,Integer,,,,no
air_time18,Feature,Integer,,,,no
disp_index18,Feature,Categorical,,,,no
gmrt_in_air18,Feature,Continuous,,,,no
gmrt_on_paper18,Feature,Continuous,,,,no
max_x_extension18,Feature,Integer,,,,no
max_y_extension18,Feature,Integer,,,,no
mean_acc_in_air18,Feature,Continuous,,,,no
mean_acc_on_paper18,Feature,Continuous,,,,no
mean_gmrt18,Feature,Continuous,,,,no
mean_jerk_in_air18,Feature,Continuous,,,,no
mean_jerk_on_paper18,Feature,Continuous,,,,no
mean_speed_in_air18,Feature,Continuous,,,,no
mean_speed_on_paper18,Feature,Continuous,,,,no
num_of_pendown18,Feature,Integer,,,,no
paper_time18,Feature,Integer,,,,no
pressure_mean18,Feature,Continuous,,,,no
pressure_var18,Feature,Continuous,,,,no
total_time18,Feature,Integer,,,,no
air_time19,Feature,Integer,,,,no
disp_index19,Feature,Categorical,,,,no
gmrt_in_air19,Feature,Continuous,,,,no
gmrt_on_paper19,Feature,Continuous,,,,no
max_x_extension19,Feature,Integer,,,,no
max_y_extension19,Feature,Integer,,,,no
mean_acc_in_air19,Feature,Continuous,,,,no
mean_acc_on_paper19,Feature,Continuous,,,,no
mean_gmrt19,Feature,Continuous,,,,no
mean_jerk_in_air19,Feature,Continuous,,,,no
mean_jerk_on_paper19,Feature,Continuous,,,,no
mean_speed_in_air19,Feature,Continuous,,,,no
mean_speed_on_paper19,Feature,Continuous,,,,no
num_of_pendown19,Feature,Integer,,,,no
paper_time19,Feature,Integer,,,,no
pressure_mean19,Feature,Continuous,,,,no
pressure_var19,Feature,Continuous,,,,no
total_time19,Feature,Integer,,,,no
air_time20,Feature,Integer,,,,no
disp_index20,Feature,Categorical,,,,no
gmrt_in_air20,Feature,Continuous,,,,no
gmrt_on_paper20,Feature,Continuous,,,,no
max_x_extension20,Feature,Integer,,,,no
max_y_extension20,Feature,Integer,,,,no
mean_acc_in_air20,Feature,Continuous,,,,no
mean_acc_on_paper20,Feature,Continuous,,,,no
mean_gmrt20,Feature,Continuous,,,,no
mean_jerk_in_air20,Feature,Continuous,,,,no
mean_jerk_on_paper20,Feature,Continuous,,,,no
mean_speed_in_air20,Feature,Continuous,,,,no
mean_speed_on_paper20,Feature,Continuous,,,,no
num_of_pendown20,Feature,Integer,,,,no
paper_time20,Feature,Integer,,,,no
pressure_mean20,Feature,Continuous,,,,no
pressure_var20,Feature,Continuous,,,,no
total_time20,Feature,Integer,,,,no
air_time21,Feature,Integer,,,,no
disp_index21,Feature,Categorical,,,,no
gmrt_in_air21,Feature,Continuous,,,,no
gmrt_on_paper21,Feature,Continuous,,,,no
max_x_extension21,Feature,Integer,,,,no
max_y_extension21,Feature,Integer,,,,no
mean_acc_in_air21,Feature,Continuous,,,,no
mean_acc_on_paper21,Feature,Continuous,,,,no
mean_gmrt21,Feature,Continuous,,,,no
mean_jerk_in_air21,Feature,Continuous,,,,no
mean_jerk_on_paper21,Feature,Continuous,,,,no
mean_speed_in_air21,Feature,Continuous,,,,no
mean_speed_on_paper21,Feature,Continuous,,,,no
num_of_pendown21,Feature,Integer,,,,no
paper_time21,Feature,Integer,,,,no
pressure_mean21,Feature,Continuous,,,,no
pressure_var21,Feature,Continuous,,,,no
total_time21,Feature,Integer,,,,no
air_time22,Feature,Integer,,,,no
disp_index22,Feature,Categorical,,,,no
gmrt_in_air22,Feature,Continuous,,,,no
gmrt_on_paper22,Feature,Continuous,,,,no
max_x_extension22,Feature,Integer,,,,no
max_y_extension22,Feature,Integer,,,,no
mean_acc_in_air22,Feature,Continuous,,,,no
mean_acc_on_paper22,Feature,Continuous,,,,no
mean_gmrt22,Feature,Continuous,,,,no
mean_jerk_in_air22,Feature,Continuous,,,,no
mean_jerk_on_paper22,Feature,Continuous,,,,no
mean_speed_in_air22,Feature,Continuous,,,,no
mean_speed_on_paper22,Feature,Continuous,,,,no
num_of_pendown22,Feature,Integer,,,,no
paper_time22,Feature,Integer,,,,no
pressure_mean22,Feature,Continuous,,,,no
pressure_var22,Feature,Continuous,,,,no
total_time22,Feature,Integer,,,,no
air_time23,Feature,Integer,,,,no
disp_index23,Feature,Categorical,,,,no
gmrt_in_air23,Feature,Continuous,,,,no
gmrt_on_paper23,Feature,Continuous,,,,no
max_x_extension23,Feature,Integer,,,,no
max_y_extension23,Feature,Integer,,,,no
mean_acc_in_air23,Feature,Continuous,,,,no
mean_acc_on_paper23,Feature,Continuous,,,,no
mean_gmrt23,Feature,Continuous,,,,no
mean_jerk_in_air23,Feature,Continuous,,,,no
mean_jerk_on_paper23,Feature,Continuous,,,,no
mean_speed_in_air23,Feature,Continuous,,,,no
mean_speed_on_paper23,Feature,Continuous,,,,no
num_of_pendown23,Feature,Integer,,,,no
paper_time23,Feature,Integer,,,,no
pressure_mean23,Feature,Continuous,,,,no
pressure_var23,Feature,Continuous,,,,no
total_time23,Feature,Integer,,,,no
air_time24,Feature,Integer,,,,no
disp_index24,Feature,Categorical,,,,no
gmrt_in_air24,Feature,Continuous,,,,no
gmrt_on_paper24,Feature,Continuous,,,,no
max_x_extension24,Feature,Integer,,,,no
max_y_extension24,Feature,Integer,,,,no
mean_acc_in_air24,Feature,Continuous,,,,no
mean_acc_on_paper24,Feature,Continuous,,,,no
mean_gmrt24,Feature,Continuous,,,,no
mean_jerk_in_air24,Feature,Continuous,,,,no
mean_jerk_on_paper24,Feature,Continuous,,,,no
mean_speed_in_air24,Feature,Continuous,,,,no
mean_speed_on_paper24,Feature,Continuous,,,,no
num_of_pendown24,Feature,Integer,,,,no
paper_time24,Feature,Integer,,,,no
pressure_mean24,Feature,Continuous,,,,no
pressure_var24,Feature,Continuous,,,,no
total_time24,Feature,Integer,,,,no
air_time25,Feature,Integer,,,,no
disp_index25,Feature,Categorical,,,,no
gmrt_in_air25,Feature,Continuous,,,,no
gmrt_on_paper25,Feature,Continuous,,,,no
max_x_extension25,Feature,Integer,,,,no
max_y_extension25,Feature,Integer,,,,no
mean_acc_in_air25,Feature,Continuous,,,,no
mean_acc_on_paper25,Feature,Continuous,,,,no
mean_gmrt25,Feature,Continuous,,,,no
mean_jerk_in_air25,Feature,Continuous,,,,no
mean_jerk_on_paper25,Feature,Continuous,,,,no
mean_speed_in_air25,Feature,Continuous,,,,no
mean_speed_on_paper25,Feature,Continuous,,,,no
num_of_pendown25,Feature,Integer,,,,no
paper_time25,Feature,Integer,,,,no
pressure_mean25,Feature,Continuous,,,,no
pressure_var25,Feature,Continuous,,,,no
total_time25,Feature,Integer,,,,no
class,Target,Categorical,,,,no
